日期,计划购电费/元,紧急购电量/kWh,紧急购电费/元,总费用/元
2025-02-01,16673.335643764785,121.50843194445392,516.22857311601,17189.564216880797
2025-02-02,58067.69849073444,528.5877687777861,3344.4879035913773,61412.186394325814
2025-02-03,62339.04919525403,374.4502810555661,2487.4336455375555,64826.482840791585
2025-02-04,63285.95373495213,125.84795388889461,824.3040979722542,64110.257832924384
2025-02-05,58451.87469935527,779.3189814722339,5012.097376612641,63463.97207596791
2025-02-06,63582.409020347885,159.8748922777835,1062.7129202269216,64645.121940574805
2025-02-07,17688.73141573453,157.0904208333404,762.1256320729401,18450.857047807473
2025-02-08,15512.449006014647,1005.0578291666777,5404.671638943797,20917.120644958442
2025-02-09,57790.598784300826,627.2118241666815,4155.2783351042435,61945.87711940507
2025-02-10,55780.174361553894,553.4665876111185,3604.155763979812,59384.33012553371
2025-02-11,55670.76406603073,99.16703750000977,654.5458824590793,56325.30994848981
2025-02-12,57276.78458904819,200.4223627777847,1281.901158319342,58558.68574736753
2025-02-13,48426.599972228185,843.112833500011,5468.865699610225,53895.46567183841
2025-02-14,15081.304509473232,842.8910680555623,4423.800966849329,19505.105476322562
2025-02-15,17641.566558762755,305.3942805555606,1479.0497777375185,19120.616336500272
2025-02-16,55531.13696116618,166.30679027778623,1100.6955595181,56631.83252068428
2025-02-17,56002.607001416385,516.5259681666752,3359.1187083700124,59361.7257097864
2025-02-18,49065.36448694939,1321.9298545833408,8513.644212315583,57579.008699264974
2025-02-19,49582.97446122711,1495.755794263904,9571.558593414074,59154.533054641186
2025-02-20,50064.44262817179,791.2190906527871,5259.859071908686,55324.301700080476
2025-02-21,15299.522552620774,754.0240736111165,4028.0885787555744,19327.611131376347
2025-02-22,15591.435439139506,510.55671111111974,2569.5494453889214,18160.98488452843
2025-02-23,49230.204028080196,499.1315261388994,3082.799595492061,52313.00362357226
2025-02-24,48096.39988854193,219.4043449444564,1423.6947990174458,49520.09468755937
