日期,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元,弃电量/kWh,日初储电量/kWh,日末储电量/kWh
2025-02-01,38529.9233289609,20097.83946233712,121.50843194445392,599.7048658618497,532.6816076131778,6000.0,6000.0
2025-02-02,84394.26249338133,52550.10301884461,528.5877687777861,3675.4835297271507,2128.785032681764,6000.0,6000.0
2025-02-03,88036.56763333332,55098.872374156526,374.4502810555653,2599.176832760266,3824.652688494524,6000.0,6000.0
2025-02-04,89170.90392484568,56131.43890626248,125.84795388889484,877.9153263289181,3545.8025307270304,6000.0,6000.0
2025-02-05,84532.37460308641,52851.90457182025,779.4915834722339,5303.6855531281035,104.61692391976516,6000.0,6000.0
2025-02-06,90600.6707457133,57050.35041607332,159.8748922777835,1102.3803439464737,6083.335661608371,6000.0,6000.0
2025-02-07,39910.53828518518,20587.376837762688,157.0904208333416,914.2498423041991,4498.58601610083,6000.0,6000.0
2025-02-08,35274.383016580934,17904.036352690207,1005.0578291666777,6540.706571458388,1118.3337868998744,6000.0,6000.0
2025-02-09,85853.49306519204,53674.3704292848,630.9801738611249,4401.717692855174,2643.4608105281313,6000.0,6000.0
2025-02-10,81630.413277452,50550.7268640839,553.4665876111192,3843.701881391811,3743.2404895404734,6000.0,6000.0
2025-02-11,82668.25930066871,51772.41259529245,99.16703750000983,674.6943684167122,3149.484555675589,6000.0,6000.0
2025-02-12,82625.48424441015,51512.84902257424,200.4223627777847,1382.8411238878084,3262.7186190500734,6000.0,6000.0
2025-02-13,77336.25422983538,47407.036712355555,843.1121431666764,5738.941925170968,2759.4692776577567,6000.0,6000.0
2025-02-14,35374.777204509606,17929.346462310703,842.8910680555623,5358.47463789725,2897.205765775044,6000.0,6000.0
2025-02-15,35238.90965397805,18252.272815047654,305.43877655556,1777.3461441076302,2846.7337222222286,6000.0,6000.0
2025-02-16,83832.15906203704,52115.88207347991,166.30679027778683,1142.605949344484,4408.008175514413,6000.0,6000.0
