日期,计划购电费/元,买入/元,偏差费/元,紧急购电费/元,总费用/元,紧急购电量/kWh,调整量/kWh
2025-02-01,20919.43485338655,19902.909991439214,508.2624309736694,3.0100670400656785e-11,20411.172422412914,8.174794174919953e-12,2315.0543436426615
2025-02-02,61618.117160860405,59190.886413232394,1408.1108833092876,4.8748922232277884e-11,60598.99729654173,9.768186259861977e-12,3489.406722061093
2025-02-03,66652.01372995111,62785.20046149337,1951.0197864288775,66.48344600005342,64802.7036939223,12.123166666678934,4536.1399005946505
2025-02-04,65879.20898039988,62489.57687287438,1855.6585137892657,6.512247097134604e-11,64345.23538666371,1.3843148849446152e-11,4353.045299219135
2025-02-05,66528.54738826121,65554.3516064516,1256.6209549603827,5.178876250067077e-11,66810.97256141204,1.1334932992212998e-11,3060.9037897903513
2025-02-06,65851.77080121107,60479.26979620845,2686.2505025013097,5.1207671436515064e-11,63165.52029870981,1.2580381181237499e-11,6380.959851620918
2025-02-07,19057.94768025328,17837.219148543714,610.7717803507827,3.5565328460052115e-11,18447.990928894535,1.156141848923653e-11,3151.501859217905
2025-02-08,18350.464325102064,18749.61465917441,199.5751670361729,4.304013501155168e-11,18949.189826210626,1.425792817144611e-11,550.5464675312785
2025-02-09,60572.410650678816,59312.8988571432,873.6447027182753,6.309101752144388e-11,60186.54355986154,1.2430501072913103e-11,2249.2950753478876
2025-02-10,60577.24216497384,56850.70194527051,1929.3994594986518,5.077351161730804e-11,58780.101404769215,1.538325022920617e-11,5045.66679125621
2025-02-11,59411.280178773224,55563.81124826797,1955.3855173548773,4.6214535309729846e-11,57519.196765622895,9.651612842276336e-12,4666.317608027905
2025-02-12,60161.37755378674,56111.32560862183,2025.0259725824535,225.23993162567564,58361.59151282996,41.526536066683256,5137.383793552695
2025-02-13,54506.13676378047,51978.61331607594,1464.2148212412922,4.0076885782225353e-11,53442.82813731728,8.661127370857002e-12,3927.1772581424048
2025-02-14,17235.009732326536,17649.910897616635,207.45058264505008,4.6468209780048393e-11,17857.361480261734,1.5372036976657455e-11,579.2014069027751
2025-02-15,16388.31812690734,16398.85114644202,190.4765996180855,4.772470486164028e-11,16589.327746060153,1.6644866041026773e-11,470.686197006335
2025-02-16,56482.32690829392,52771.69029363642,2141.0320768105344,427.1257621334553,55339.84813258042,80.38146666669479,4915.764641944717
2025-02-17,57154.78546446054,50627.30454253162,3263.740460964459,126.76646266674545,54017.81146616283,23.75683333335359,8531.137534000754
2025-02-18,52124.36647467177,52155.0077329598,930.4360965326904,14.963248426873342,53100.407077919364,2.9798363889045376,2436.6892227604094
2025-02-19,51492.19740762456,51598.12758008993,500.82507449191667,635.0499832433945,52734.00263782524,118.61357333334813,1283.6508808674828
2025-02-20,52307.09853924668,50048.97562009502,1368.7642244752672,473.4716384500671,51891.21148302035,86.41250000001494,3355.2354559250634
2025-02-21,15112.888109163334,15447.706697234513,167.40929403558948,4.795144681324359e-11,15615.11599127015,1.590266807127705e-11,370.50204946111006
2025-02-22,16574.953214244117,16856.755438969398,186.70844194538262,4.507814599374882e-11,17043.463880914824,1.5022871835412843e-11,416.3893181063284
2025-02-23,51254.39463634975,48954.51368439742,1303.6050398718985,7.212432984182726e-11,50258.11872426939,1.922595416203876e-11,3237.0123426935243
2025-02-24,51067.30342948389,49396.20979475724,1266.1023147422547,212.95325979949587,50875.26536929899,41.80094134445919,3424.9560630285077
2025-02-25,50840.043339448144,46533.14235125077,2198.9884175455245,338.32321777340826,49070.4539865697,66.00674666668351,5989.748938655031
2025-02-26,47820.788064857436,48900.18656413736,547.9482254632393,7.464922147093488e-11,49448.13478960067,1.9892532066023705e-11,1404.7622203204517
2025-02-27,44242.36539287447,44215.80602060197,594.1341891839912,682.5796501654238,45492.51985995139,136.13560663423678,1480.2802029919767
